period_start,period_end,ticker,premium,premium_pct,underlying_ret_in_prev_period,current_return_for_underlying,pnl_dollar,pnl_pct,contribution_pct,stock_entry,stock_expiry,strike,payoff,atm_correction,carried,split_factor
2020-12-28,2021-01-22,JPM,3.93,3.1355,25.0,5.41,3.19,2.5451,0.084837,125.34,132.12,125.0,7.12,-0.17,False,1
2020-12-28,2021-01-22,KO,1.05,1.9387,11.4,-9.93,-1.05,-1.9387,-0.064623,54.16,48.78,54.0,0.0,-0.08,False,1
2020-12-28,2021-01-22,LLY,5.96,3.5796,26.5,27.54,38.89,23.3574,0.77858,166.5,212.35,167.5,44.85,0.5,False,1
2020-12-28,2021-01-22,MA,10.46,3.0365,18.8,-4.44,-10.46,-3.038,-0.101267,344.47,329.19,345.0,0.0,0.26,False,1
2020-12-28,2021-01-22,MRK,2.18,2.7098,4.9,0.87,-1.53,-1.8956,-0.063187,80.45,81.15,80.5,0.65,0.03,False,1
2020-12-28,2021-01-22,MSFT,5.72,2.5427,11.2,2.03,-1.19,-0.529,-0.017633,224.96,229.53,225.0,4.53,0.02,False,1
2020-12-28,2021-01-22,NFLX,24.94,4.8043,7.2,7.25,11.84,2.2808,0.076027,519.12,556.78,520.0,36.78,0.44,False,1
2020-12-28,2021-01-22,NOW,20.9,3.8437,14.2,-1.08,-20.9,-3.8437,-0.128123,543.74,537.88,545.0,0.0,0.63,False,1
2020-12-28,2021-01-22,NVDA,18.87,3.657,2.5,5.84,12.26,2.376,0.0792,516.0,546.13,515.0,31.13,-0.5,False,1
2020-12-28,2021-01-22,PEP,2.76,1.8787,8.7,-4.58,-2.76,-1.8821,-0.062737,146.91,140.18,147.0,0.0,0.04,False,1
2020-12-28,2021-01-22,PG,5.16,3.7208,0.1,-4.64,-5.16,-3.7208,-0.124027,138.68,132.24,139.0,0.0,0.16,False,1
2020-12-28,2021-01-22,QCOM,4.38,2.9647,19.2,11.28,12.02,8.1359,0.271197,147.74,164.4,148.0,16.4,0.13,False,1
2020-12-28,2021-01-22,TSLA,38.71,5.8325,65.7,32.71,179.6,27.0601,0.902003,663.69,880.8,662.5,218.3,-0.59,False,1
2020-12-28,2021-01-22,UNH,14.57,4.2116,10.8,0.54,-11.76,-3.4008,-0.11336,345.95,347.81,345.0,2.81,-0.48,False,1
2020-12-28,2021-01-22,V,4.98,2.3421,15.1,-5.48,-4.98,-2.3444,-0.078147,212.63,200.98,212.5,0.0,-0.07,False,1
2020-12-28,2021-01-22,WFC,1.32,4.4103,36.7,7.72,0.92,3.0571,0.101903,29.93,32.24,30.0,2.24,0.03,False,1
2020-12-28,2021-01-22,WMT,3.14,2.1622,3.4,0.67,-1.94,-1.3359,-0.04453,145.22,146.2,145.0,1.2,-0.11,False,1
2020-12-28,2021-01-22,XOM,1.4,3.3541,22.8,12.36,4.0,9.5831,0.319437,41.74,46.9,41.5,5.4,-0.12,False,1
2021-01-25,2021-02-19,AAPL,7.44,5.2057,4.6,-11.84,-7.44,-5.2057,-0.173523,142.92,126.0,143.0,0.0,0.04,False,1
2021-01-25,2021-02-19,ABBV,3.0,2.7149,6.8,-3.11,-3.0,-2.7149,-0.090497,110.5,107.06,110.0,0.0,-0.25,False,1
2021-01-25,2021-02-19,ABT,3.98,3.4693,6.4,6.83,3.57,3.1119,0.10373,114.72,122.55,115.0,7.55,0.14,False,1
2021-01-25,2021-02-19,ADBE,14.48,3.0585,6.4,-1.29,-14.48,-3.0585,-0.10195,473.44,467.33,472.5,0.0,-0.47,False,1
2021-01-25,2021-02-19,AMZN,139.2,4.2259,0.3,-3.44,-139.2,-4.2259,-0.140863,3294.0,3180.74,3295.0,0.0,0.5,False,1
2021-01-25,2021-02-19,AVGO,13.76,2.9605,7.6,2.49,-2.4,-0.5174,-0.017247,464.79,476.36,465.0,11.36,0.1,False,1
2021-01-25,2021-02-19,BAC,0.9,2.8883,3.4,12.8,3.25,10.43,0.347667,31.16,35.15,31.0,4.15,-0.08,False,1
2021-01-25,2021-02-19,BX,2.37,3.6473,0.5,6.99,2.15,3.3087,0.11029,64.98,69.52,65.0,4.52,0.01,False,1
2021-01-25,2021-02-19,CRM,7.03,3.1117,0.6,6.65,8.92,3.9483,0.13161,225.92,240.95,225.0,15.95,-0.46,False,1
2021-01-25,2021-02-19,CVX,4.78,5.2585,7.1,8.24,2.61,2.8713,0.09571,90.9,98.39,91.0,7.39,0.05,False,1
2021-01-25,2021-02-19,GOOG,82.6,4.3487,6.9,10.62,118.6,6.2441,0.208137,1899.4,2101.2,1900.0,201.2,0.3,False,20
2021-01-25,2021-02-19,HD,7.17,2.5151,5.9,-3.24,-7.17,-2.5151,-0.083837,285.08,275.85,285.0,0.0,-0.04,False,1
2021-01-25,2021-02-19,JNJ,4.37,2.6328,8.3,-2.48,-4.37,-2.6328,-0.08776,165.98,161.87,165.0,0.0,-0.49,False,1
2021-01-25,2021-02-19,JPM,3.76,2.8459,5.4,13.09,13.65,10.3315,0.344383,132.12,149.41,132.0,17.41,-0.06,False,1
2021-01-25,2021-02-19,LLY,5.77,2.7172,27.5,-5.5,-5.77,-2.7196,-0.090653,212.35,200.68,210.0,0.0,-1.18,False,1
2021-01-25,2021-02-19,MRK,1.97,2.4276,0.9,-7.66,-1.97,-2.4214,-0.080713,81.15,74.93,81.0,0.0,-0.07,False,1
2021-01-25,2021-02-19,MSFT,8.64,3.7642,2.0,2.17,-4.13,-1.7972,-0.059907,229.53,234.51,230.0,4.51,0.24,False,1
2021-01-25,2021-02-19,NFLX,19.66,3.531,7.3,-4.13,-19.66,-3.531,-0.1177,556.78,533.78,555.0,0.0,-0.89,False,1
2021-01-25,2021-02-19,NVDA,23.64,4.3286,5.8,5.15,5.59,1.0245,0.03415,546.13,574.23,545.0,29.23,-0.56,False,1
2021-01-25,2021-02-19,ORCL,1.84,3.0213,7.9,5.83,1.61,2.6437,0.088123,60.9,64.45,61.0,3.45,0.05,False,1
2021-01-25,2021-02-19,QCOM,8.95,5.444,11.3,-15.17,-8.95,-5.444,-0.181467,164.4,139.46,165.0,0.0,0.3,False,1
2021-01-25,2021-02-19,TSLA,75.85,8.6115,32.7,-11.3,-75.85,-8.6115,-0.28705,880.8,781.29,880.0,0.0,-0.4,False,3
2021-01-25,2021-02-19,UNH,10.55,3.0333,0.5,-5.8,-10.55,-3.0318,-0.10106,347.81,327.64,347.5,0.0,-0.15,False,1
2021-01-25,2021-02-19,WFC,1.05,3.2568,7.7,15.57,4.21,13.0583,0.435277,32.24,37.26,32.0,5.26,-0.12,False,1
2021-01-25,2021-02-19,WMT,4.38,2.9959,0.7,-5.82,-4.38,-2.9959,-0.099863,146.2,137.69,146.0,0.0,-0.1,False,1
2021-01-25,2021-02-19,XOM,2.54,5.4158,12.4,15.78,4.76,10.1493,0.33831,46.9,54.3,47.0,7.3,0.05,False,1
2021-02-22,2021-03-19,ABT,3.72,3.0355,6.8,-0.88,-3.72,-3.0396,-0.10132,122.55,121.47,123.0,0.0,0.22,False,1
2021-02-22,2021-03-19,AVGO,24.02,5.0424,2.5,-0.23,-24.02,-5.0424,-0.16808,476.36,475.28,480.0,0.0,1.82,False,1
2021-02-22,2021-03-19,BAC,1.07,3.0441,12.8,7.14,1.59,4.5092,0.150307,35.15,37.66,35.0,2.66,-0.08,False,1
2021-02-22,2021-03-19,BX,2.44,3.5098,7.0,5.8,1.11,1.5967,0.053223,69.52,73.55,70.0,3.55,0.24,False,1
2021-02-22,2021-03-19,CMCSA,1.33,2.5333,7.2,7.37,2.54,4.8381,0.16127,52.5,56.37,52.5,3.87,0.0,False,1
2021-02-22,2021-03-19,CRM,9.33,3.8722,6.7,-10.7,-9.33,-3.8701,-0.129003,240.95,215.17,240.0,0.0,-0.47,False,1
2021-02-22,2021-03-19,CVX,3.31,3.3642,8.2,4.22,0.74,0.747,0.0249,98.39,102.54,98.5,4.04,0.06,False,1
2021-02-22,2021-03-19,IBM,3.77,3.1193,1.9,8.02,5.78,4.7824,0.159413,120.86,130.55,121.0,9.55,0.07,False,1
2021-02-22,2021-03-19,INTU,10.73,2.6721,7.2,-4.61,-10.73,-2.6709,-0.08903,401.55,383.02,400.0,0.0,-0.77,False,1
2021-02-22,2021-03-19,JPM,3.79,2.5366,13.1,1.04,-1.82,-1.2215,-0.040717,149.41,150.97,149.0,1.97,-0.21,False,1
2021-02-22,2021-03-19,KO,1.24,2.4491,3.8,0.73,-0.74,-1.4715,-0.04905,50.63,51.0,50.5,0.5,-0.07,False,1
2021-02-22,2021-03-19,MA,8.17,2.3983,3.5,5.21,10.23,3.003,0.1001,340.66,358.4,340.0,18.4,-0.33,False,1
2021-02-22,2021-03-19,MSFT,6.46,2.7547,2.2,0.63,-5.46,-2.3304,-0.07768,234.51,235.99,235.0,0.99,0.25,False,1
2021-02-22,2021-03-19,NKE,5.62,4.1121,11.7,1.17,-4.34,-3.1792,-0.105973,136.67,138.27,137.0,1.27,0.17,False,1
2021-02-22,2021-03-19,NOW,19.97,3.6292,2.3,-13.38,-19.97,-3.6292,-0.120973,550.26,476.65,550.0,0.0,-0.13,False,1
2021-02-22,2021-03-19,NVDA,32.52,5.6632,5.1,-8.15,-32.52,-5.6641,-0.188803,574.23,527.45,575.0,0.0,0.38,False,1
2021-02-22,2021-03-19,ORCL,2.74,4.2514,5.8,2.9,-1.42,-2.1955,-0.073183,64.45,66.32,65.0,1.32,0.28,False,1
2021-02-22,2021-03-19,V,4.48,2.1505,3.7,-0.15,-3.98,-1.9105,-0.063683,208.32,208.0,207.5,0.5,-0.41,False,1
2021-02-22,2021-03-19,WFC,1.7,4.5625,15.6,4.59,-0.23,-0.6173,-0.020577,37.26,38.97,37.5,1.47,0.12,False,1
2021-02-22,2021-03-19,XOM,2.22,4.0884,15.8,2.97,-0.81,-1.4917,-0.049723,54.3,55.91,54.5,1.41,0.1,False,1
2021-03-22,2021-04-16,BAC,1.04,2.7616,7.1,4.01,0.63,1.6729,0.055763,37.66,39.17,37.5,1.67,-0.08,False,1
2021-03-22,2021-04-16,BX,1.86,2.5289,5.8,7.82,4.44,6.0299,0.200997,73.55,79.3,73.0,6.3,-0.28,False,1
2021-03-22,2021-04-16,CMCSA,1.76,3.1222,7.4,-3.96,-1.76,-3.1134,-0.10378,56.37,54.14,56.5,0.0,0.07,False,1
2021-03-22,2021-04-16,CVX,3.33,3.2475,4.2,0.7,-3.07,-2.994,-0.0998,102.54,103.26,103.0,0.26,0.23,False,1
2021-03-22,2021-04-16,DIS,5.62,2.914,12.2,-2.82,-5.62,-2.914,-0.097133,192.86,187.43,192.5,0.0,-0.18,False,1
2021-03-22,2021-04-16,GOOG,49.71,2.4385,7.3,12.94,212.7,10.4334,0.34778,2038.59,2302.4,2040.0,262.4,0.71,False,1
2021-03-22,2021-04-16,GOOGL,51.78,2.5499,14.5,12.41,201.02,9.8991,0.32997,2030.69,2282.8,2030.0,252.8,-0.35,False,20
2021-03-22,2021-04-16,HD,7.01,2.4261,4.7,13.12,29.84,10.3274,0.344247,288.94,326.85,290.0,36.85,0.53,False,1
2021-03-22,2021-04-16,IBM,2.99,2.2903,8.0,1.97,-0.86,-0.6626,-0.022087,130.55,133.12,131.0,2.12,0.23,False,1
2021-03-22,2021-04-16,JPM,3.66,2.4243,1.0,1.11,-1.02,-0.6723,-0.02241,150.97,152.65,150.0,2.65,-0.49,False,1
2021-03-22,2021-04-16,KO,1.0,1.9608,0.7,5.88,2.0,3.9216,0.13072,51.0,54.0,51.0,3.0,0.0,False,1
2021-03-22,2021-04-16,MA,9.25,2.5809,5.2,6.63,15.41,4.2997,0.143323,358.4,382.16,357.5,24.66,-0.45,False,1
2021-03-22,2021-04-16,MRK,1.45,1.8707,3.4,0.19,-1.29,-1.6579,-0.055263,77.51,77.66,77.5,0.16,-0.0,False,1
2021-03-22,2021-04-16,MSFT,4.4,1.8645,0.6,9.64,19.33,8.1931,0.273103,235.99,258.74,235.0,23.74,-0.5,False,1
2021-03-22,2021-04-16,NKE,3.02,2.1841,1.2,-4.12,-3.02,-2.1877,-0.072923,138.27,132.57,138.0,0.0,-0.14,False,1
2021-03-22,2021-04-16,ORCL,1.74,2.6236,2.9,18.74,10.51,15.8474,0.528247,66.32,78.75,66.5,12.25,0.09,False,1
2021-03-22,2021-04-16,PEP,2.95,2.1408,4.4,5.04,3.8,2.7576,0.09192,137.8,144.75,138.0,6.75,0.1,False,1
2021-03-22,2021-04-16,PG,2.05,1.5747,2.8,4.94,4.56,3.5028,0.11676,130.18,136.61,130.0,6.61,-0.09,False,1
2021-03-22,2021-04-16,UNH,9.78,2.6659,12.0,6.26,12.56,3.4236,0.11412,366.86,389.84,367.5,22.34,0.32,False,1
2021-03-22,2021-04-16,WFC,1.43,3.6695,4.6,12.6,3.45,8.8401,0.29467,38.97,43.88,39.0,4.88,0.01,False,1
2021-03-22,2021-04-16,XOM,1.88,3.3625,3.0,1.02,-1.4,-2.4951,-0.08317,55.91,56.48,56.0,0.48,0.05,False,1
2021-04-19,2021-05-14,AAPL,5.08,3.7674,9.3,-6.36,-5.08,-3.7674,-0.12558,134.84,126.27,135.0,0.0,0.08,False,1
2021-04-19,2021-05-14,ABBV,3.75,3.4527,2.6,7.62,4.13,3.8072,0.126907,108.61,116.89,109.0,7.89,0.19,False,1
2021-04-19,2021-05-14,ABT,5.47,4.3925,2.5,-6.26,-5.47,-4.3885,-0.146283,124.53,116.74,123.0,0.0,-0.76,False,1
2021-04-19,2021-05-14,ADBE,11.6,2.2473,14.1,-6.48,-11.6,-2.2464,-0.07488,516.17,482.74,515.0,0.0,-0.58,False,1
2021-04-19,2021-05-14,AMZN,117.0,3.4697,8.4,-3.01,-117.0,-3.4696,-0.115653,3372.01,3270.39,3370.0,0.0,-1.0,False,1
2021-04-19,2021-05-14,BAC,0.9,2.2977,4.0,9.11,2.85,7.2632,0.242107,39.17,42.74,39.0,3.74,-0.08,False,1
2021-04-19,2021-05-14,BX,1.92,2.4212,7.8,10.69,6.86,8.6507,0.288357,79.3,87.78,79.0,8.78,-0.15,False,1
2021-04-19,2021-05-14,COST,6.53,1.767,10.5,3.9,7.43,2.0119,0.067063,369.55,383.96,370.0,13.96,0.23,False,1
2021-04-19,2021-05-14,CRM,5.25,2.2777,7.1,-6.7,-5.25,-2.2777,-0.075923,230.5,215.06,230.0,0.0,-0.25,False,1
2021-04-19,2021-05-14,CVX,2.87,2.7794,0.7,7.31,4.94,4.784,0.159467,103.26,110.81,103.0,7.81,-0.13,False,1
2021-04-19,2021-05-14,GOOG,73.8,3.2054,12.9,0.83,-52.39,-2.2754,-0.075847,2302.4,2321.41,2300.0,21.41,-1.2,False,1
2021-04-19,2021-05-14,HD,6.47,1.9795,13.1,-2.09,-6.47,-1.981,-0.066033,326.85,320.01,327.5,0.0,0.32,False,1
2021-04-19,2021-05-14,IBM,4.54,3.4105,2.0,9.01,7.57,5.6866,0.189553,133.12,145.11,133.0,12.11,-0.06,False,1
2021-04-19,2021-05-14,INTU,4.75,1.1807,5.0,4.26,14.67,3.6454,0.121513,402.29,419.42,400.0,19.42,-1.15,False,1
2021-04-19,2021-05-14,JNJ,2.63,1.6166,1.4,4.73,5.26,3.2301,0.10767,162.69,170.39,162.5,7.89,-0.1,False,1
2021-04-19,2021-05-14,JPM,3.21,2.1028,1.1,7.87,8.96,5.8729,0.195763,152.65,164.67,152.5,12.17,-0.07,False,1
2021-04-19,2021-05-14,KO,0.9,1.6667,5.9,1.19,-0.26,-0.4815,-0.01605,54.0,54.64,54.0,0.64,0.0,False,1
2021-04-19,2021-05-14,LLY,6.42,3.3854,2.0,3.11,-0.89,-0.4693,-0.015643,189.64,195.53,190.0,5.53,0.18,False,1
2021-04-19,2021-05-14,MA,11.02,2.8836,6.6,-4.94,-11.02,-2.8836,-0.09612,382.16,363.3,382.5,0.0,0.17,False,1
2021-04-19,2021-05-14,MRK,2.1,2.7041,0.2,2.85,0.27,0.3477,0.01159,77.66,79.87,77.5,2.37,-0.08,False,1
2021-04-19,2021-05-14,MSFT,5.73,2.2146,9.6,-5.24,-5.73,-2.2146,-0.07382,258.74,245.18,257.5,0.0,-0.62,False,1
2021-04-19,2021-05-14,NFLX,27.55,4.969,6.0,-11.81,-27.55,-4.969,-0.165633,554.44,488.94,555.0,0.0,0.28,False,1
2021-04-19,2021-05-14,NOW,27.16,4.9438,15.3,-17.29,-27.16,-4.9448,-0.164827,549.37,454.4,550.0,0.0,0.31,False,1
2021-04-19,2021-05-14,NVDA,24.27,3.9497,16.5,-7.79,-24.27,-3.9489,-0.13163,614.47,566.62,615.0,0.0,0.27,False,1
2021-04-19,2021-05-14,ORCL,1.82,2.3111,18.7,0.42,-1.74,-2.2159,-0.073863,78.75,79.08,79.0,0.08,0.12,False,1
2021-04-19,2021-05-14,PEP,2.46,1.6995,5.0,0.98,-1.29,-0.8877,-0.02959,144.75,146.17,145.0,1.17,0.12,False,1
2021-04-19,2021-05-14,PG,3.49,2.5547,4.9,0.82,-2.77,-2.024,-0.067467,136.61,137.73,137.0,0.73,0.19,False,1
2021-04-19,2021-05-14,QCOM,5.42,4.0074,0.9,-4.03,-5.42,-4.0111,-0.133703,135.25,129.8,135.0,0.0,-0.12,False,1
2021-04-19,2021-05-14,TSLA,52.48,7.3437,6.7,-19.28,-52.48,-7.3444,-0.244813,714.63,576.83,715.0,0.0,0.18,False,1
2021-04-19,2021-05-14,UNH,7.58,1.9444,6.3,4.82,11.05,2.8345,0.094483,389.84,408.63,390.0,18.63,0.08,False,1
2021-04-19,2021-05-14,V,4.84,2.1436,8.6,0.29,-3.4,-1.5036,-0.05012,225.79,226.44,225.0,1.44,-0.39,False,1
2021-04-19,2021-05-14,WFC,1.56,3.5552,12.6,9.16,2.34,5.3327,0.177757,43.88,47.9,44.0,3.9,0.06,False,1
2021-04-19,2021-05-14,WMT,2.9,2.0757,5.5,-0.59,-2.9,-2.0721,-0.06907,139.71,138.89,140.0,0.0,0.15,False,1
2021-04-19,2021-05-14,XOM,2.13,3.7712,1.0,10.11,3.56,6.3031,0.210103,56.48,62.19,56.5,5.69,0.01,False,1
2021-05-17,2021-06-11,ABBV,2.25,1.9249,7.6,-1.27,-2.25,-1.9206,-0.06402,116.89,115.4,117.0,0.0,0.06,False,1
2021-05-17,2021-06-11,BAC,1.02,2.3865,9.1,-3.23,-1.02,-2.3865,-0.07955,42.74,41.36,42.5,0.0,-0.12,False,1
2021-05-17,2021-06-11,BX,2.61,2.9733,10.7,8.92,5.0,5.6961,0.18987,87.78,95.61,88.0,7.61,0.11,False,1
2021-05-17,2021-06-11,CMCSA,0.45,0.8114,2.4,3.28,1.33,2.3981,0.079937,55.46,57.28,55.5,1.78,0.02,False,1
2021-05-17,2021-06-11,COST,9.47,2.4664,3.9,-0.05,-9.47,-2.4664,-0.082213,383.96,383.76,385.0,0.0,0.52,False,1
2021-05-17,2021-06-11,CVX,6.9,6.2269,7.3,-2.56,-6.9,-6.2224,-0.207413,110.81,107.97,111.0,0.0,0.1,False,1
2021-05-17,2021-06-11,GOOG,120.32,5.1831,0.8,8.86,86.71,3.7354,0.124513,2321.41,2527.04,2320.0,207.04,-0.71,False,1
2021-05-17,2021-06-11,GOOGL,57.14,2.4964,12.7,6.99,101.77,4.4462,0.148207,2288.92,2448.91,2290.0,158.91,0.54,False,1
2021-05-17,2021-06-11,IBM,2.57,1.7711,9.0,3.39,2.47,1.6987,0.056623,145.11,150.03,145.0,5.03,-0.05,False,1
2021-05-17,2021-06-11,INTU,19.99,4.7661,4.3,13.72,36.98,8.8169,0.293897,419.42,476.97,420.0,56.97,0.29,False,1
2021-05-17,2021-06-11,JNJ,2.91,1.7078,4.7,-2.95,-2.91,-1.7049,-0.05683,170.39,165.37,170.0,0.0,-0.19,False,1
2021-05-17,2021-06-11,JPM,4.32,2.6234,7.9,-4.31,-4.32,-2.6204,-0.087347,164.67,157.57,165.0,0.0,0.17,False,1
2021-05-17,2021-06-11,KO,0.73,1.336,1.2,1.67,0.32,0.5856,0.01952,54.64,55.55,54.5,1.05,-0.07,False,1
2021-05-17,2021-06-11,LLY,5.39,2.7566,3.1,15.63,25.72,13.1514,0.43838,195.53,226.1,195.0,31.1,-0.26,False,1
2021-05-17,2021-06-11,MRK,1.45,1.8155,2.8,-5.53,-1.45,-1.8092,-0.060307,79.87,75.45,79.5,0.0,-0.18,False,1
2021-05-17,2021-06-11,NKE,3.22,2.3605,2.9,-3.7,-3.22,-2.3642,-0.078807,136.41,131.36,136.0,0.0,-0.21,False,1
2021-05-17,2021-06-11,ORCL,1.84,2.3268,0.4,4.48,1.78,2.2509,0.07503,79.08,82.62,79.0,3.62,-0.04,False,1
2021-05-17,2021-06-11,PEP,2.7,1.8472,1.0,1.64,-0.12,-0.0855,-0.00285,146.17,148.57,146.0,2.57,-0.08,False,1
2021-05-17,2021-06-11,PG,2.48,1.8006,0.8,-2.05,-2.48,-1.797,-0.0599,137.73,134.91,138.0,0.0,0.14,False,1
2021-05-17,2021-06-11,UNH,7.73,1.8917,4.8,-2.32,-7.73,-1.8929,-0.063097,408.63,399.16,407.5,0.0,-0.57,False,1
2021-05-17,2021-06-11,V,5.98,2.6409,0.3,3.37,0.6,0.265,0.008833,226.44,234.08,227.5,6.58,0.53,False,1
2021-05-17,2021-06-11,WFC,1.7,3.5491,9.2,-5.74,-1.7,-3.5491,-0.118303,47.9,45.15,48.0,0.0,0.05,False,1
2021-05-17,2021-06-11,XOM,1.89,3.0391,10.1,-0.19,-1.82,-2.9185,-0.097283,62.19,62.07,62.0,0.07,-0.09,False,1
2021-06-14,2021-07-09,AAPL,2.28,1.7474,3.3,10.74,12.22,9.3654,0.31218,130.48,144.5,130.0,14.5,-0.24,False,1
2021-06-14,2021-07-09,ADBE,16.12,2.8943,15.4,7.77,29.08,5.2204,0.174013,556.95,600.2,555.0,45.2,-0.98,False,1
2021-06-14,2021-07-09,AVGO,15.58,3.2743,8.2,2.08,-4.83,-1.0161,-0.03387,475.83,485.75,475.0,10.75,-0.42,False,1
2021-06-14,2021-07-09,BX,2.41,2.5207,8.9,6.61,3.52,3.6764,0.122547,95.61,101.93,96.0,5.93,0.19,False,1
2021-06-14,2021-07-09,CMCSA,1.25,2.1823,3.3,1.71,0.01,0.0175,0.000583,57.28,58.26,57.0,1.26,-0.14,False,1
